OBJECTID,ID_CD,PO_CD,CLASS_CD,SEQNO,KOR_NM,ENG_NM,DSTRC_NM,APPN_NO,CRLTS_CO,CRLTS_QY,AREA,LNM_ADRES,RDNMADR,CRLTS_SE,CRLTS_CL,SPCFC_NM,ERA_SE,PRSRV_SE,OWNER_NM,MNGR_NM,MNTRNG_YN,PROGRM_SE,ELEVATION,LONGITUDE,LATITUDE,SYMBOL_CD,INTRO
1,020111140005,0201,1114,0005,암용추와 숫용추(龍湫),Amyongchu and Sutyongchu,동학사지구,,1,2,0.00000000000,충청남도 계룡시 남선면,,무형,"설화(전설,민담)",자연환경지구,시대미상,3,국방부,없음,0,3,185.00000000000,127.23130960000,36.33216560000,Y,"옛날 계룡산에는 암용과 숫용 두 마리가 때가 되면 하늘로 올라갈 날을 기다리며 살고 있었다. 그 용들은 계룡산 땅을 파서 산의 물을 금강으로 흐르게 하고, 땅속으로는 신도안에서 갑사, 동학사, 마곡사쪽으로 다니면서 행복하게 살았다."
2,020111140010,0201,1114,0010,공주 용산구곡 석각군,Yongsangugokseokgakgun,동학사지구,,1,9,0.00000000000,충청남도 공주시 반포면 학봉리,,예술관련유적,각석,자연보존지구,조선시대,3,국유지 개인,취음 권중면,0,3,175.00000000000,127.21336130000,36.38263440000,Y,계룡산 상신계곡에서 금잔디고개와 남매탑의 갈림길로 향하는 계곡에 용산구곡이 있다. 취음 권중면이 계곡을 통틀어 용의 승천을 주제로 9개의 주요한 포인트에 명칭을 지정하고 관련되는 시구를 암벽에 새기어 의미를 부여한 것이다.
3,020111080008,0201,1108,0008,갑사 대적전,Gapsa daejeokjeon,갑사지구,제106호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 59,충청남도 공주시 계룡면 갑사로 568-2,종교건축,불교건축(사찰),문화유산지구,조선시대,2,갑사,갑사,0,1,175.00000000000,127.18665660000,36.36438670000,Y,장대석으로 주초한 기단위에 원형주좌가 새겨진 덤벙 주초를 놓고 원주형 기둥을 세우고 있다. 지붕과 처마의 형식은 다포식의 팔작집인데 정면 3칸 측면 3칸의 구성으로 서향하고 있다.
4,020111140011,0201,1114,0011,원효대 돌정방(淨房),Wonhyodae doljeongbang,동학사지구,,1,1,0.00000000000,충청남도 공주시 계룡면 중장리,,생활(주거)유적,기타,자연보존지구,시대미상,3,대한불교조계종 동학,없음,0,3,575.00000000000,127.20175000000,36.35544440000,Y,계룡산 관음봉에서 삼불봉 방향의 탐방로능선 해발580m 인근에 자연석으로 만들어진 건축물이 있는데 아주 오래전에 만들어진 화장실이다.
5,020111110001,0201,1111,0001,계룡산 삼신당,Gyeryongsan samsindang,동학사지구,제19호,1,1,0.00000000000,충청남도 계룡시 신도안면 용동리 565,,민속유적,제사유적,자연보존지구,시대미상,2,계룡대근무지원단,계룡대근무지원단,0,2,325.00000000000,127.22648830000,36.33280960000,Y,삼신당이 위치한 곳은 조선 태조 이성계가 백일기도를 한 후 조선을 건국하고 왕위에 올랐다는 명당지로서 신라시대에는 왕용암 고려시대에는 수심대 조선시대에는 삼신당으로 불렀다.
6,020111140003,0201,1114,0003,국사봉 전설(國師峰 傳說),Guksabong legend,신원사지구,,1,1,0.00000000000,충청남도 공주시 신풍면 조평리,,무형,"설화(전설,민담)",공원인근지역,시대미상,3,없음,없음,0,3,200.00000000000,127.21108670000,36.29542730000,Y,국사봉 전설(國師峰 傳說)에 담긴 뜻은 일제강점기에 철저한 경제적 수탈을 당한 역사적 상황을 풍자한 내용을 담고 있다.
7,020111140006,0201,1114,0006,가마봉과 사람바위 전설,Gamabong and person-rock legends,동학사지구,,1,1,0.00000000000,충청남도 공주시 반포면 상신리 산 7번지,충청남도 공주시 계룡면 중장리 28-8,무형,"설화(전설,민담)",자연환경지구,시대미상,3,공주시,없음,0,3,410.00000000000,127.22827780000,36.38797220000,Y,계룡산국립공원 상신리에는 솥봉 또는 가마봉으로 불리는 산이 있다. 해발 426m 높이에 뾰족한 봉우리와 함께 바위들이 뒤엉켜서 마치 짓궂은 아이들이 흙장난하면 빚은 듯한 모양이다.
8,020111140008,0201,1114,0008,용툼벙 전설,Yongtumbeong legend,동학사지구,,1,1,120.00000000000,충청남도 공주시 반포면 상신리,,무형,"설화(전설,민담)",자연환경지구,시대미상,3,없음,해당없음,0,3,160.00000000000,127.22257010000,36.38504420000,Y,공주군 반포면 상신리와 하신리 중간에 큰 연못이 있는데 신소라고도 하는 용툼벙(툼벙은 둠벙의 격음화 현상인 듯함)이라고 하는 못이 있다. 이 용툼벙은 산소골의 내가 이 곳에 이르러 큰 못이 되었는데 이못에는 다음과 같은 전설이 있다.
9,020111120002,0201,1112,0002,천진보탑,Tianjin pagoda,갑사지구,제68호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 산47-1,충청남도 공주시 계룡면 갑사로 476-18,민속유적,전설유적,문화유산지구,삼국시대,2,갑사,갑사,0,2,435.00000000000,127.19948430000,36.36394800000,Y,"충청남도 공주시 계룡면 중장리에 소재하고 1984.5.17. 문화재자료 제 68호로 지정되었으며, 현재 갑사에서 소유 관리하고 있다."
10,020111020006,0201,1102,0006,갑사 동종,Gapsa Bronze bell,갑사지구,제478호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 52 갑사,충청남도 공주시 계룡면 갑사로 567-3,기타유형,기타,문화유산지구,조선시대,2,갑사,갑사,0,1,180.00000000000,127.18707960000,36.36504530000,Y,이 동종은 1583년에 일어난 북방 호의 난을 평정하고 왕의 성수를 축원하기 위하여 주조된 것이다.
11,020111080001,0201,1108,0001,갑사 석조보살입상,Gapsa stone bodhisattva figurine,갑사지구,제51호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 52,충청남도 공주시 계룡면 갑사로 567-3,종교신앙유적,불상,문화유산지구,백제,3,갑사,갑사,0,3,180.00000000000,127.18704880000,36.36606400000,Y,"갑사 석조보살입상(甲寺 石造菩薩立像)은 계룡산 내에 위치하고 있는 유일한 백제 석불상이다. 이 보살입상은 원래 갑사 뒷산 중사자암에 갑사부도, 약사여래입상과 함께 있었던 것을 옮기어 온것이라 전한다."
12,020111080006,0201,1108,0006,갑사 강당,Gapsa Auditorium,갑사지구,제95호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 52,충청남도 공주시 계룡면 갑사로 567-3,종교건축,불교건축(사찰),문화유산지구,조선시대,1,갑사,갑사,0,1,180.00000000000,127.18714200000,36.36536330000,Y,갑사 경내의 대웅전 앞에 위치하고 있는 강당으로 승려들의 교육장소로 활용되는 곳이다. 이 강당은 승려들이 법문을 강론하던 건물로 정유재란(1597년)으로 불타 없어진 것을 뒤로 다시 지은 것이다.
13,020111080009,0201,1108,0009,갑사 사적비,Gapsa Monument,갑사지구,제52호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 52,충청남도 공주시 계룡면 갑사로 567-3,비갈,기타,문화유산지구,조선시대,1,갑사,갑사,1,1,180.00000000000,127.18683330000,36.36633330000,Y,갑사의 창건과정과 역사를 적은 비로 바윗돌 위에 사각의 비받침돌을 마련하여 비몸을 세운 후 지붕돌을 얹은 모습이다. 비몸에는 4면 모두 비문을 새겼는데 일부 손상된 부분은 읽을 수가 없다.
14,020111120008,0201,1112,0008,갑사 팔상전,Palsangjeon,갑사지구,제54호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 54,,종교건축,불교건축(사찰),문화유산지구,조선시대,1,갑사,갑사,0,1,190.00000000000,127.18794030000,36.36605340000,Y,"충청남도 공주시 계룡면 중장리에 소재하고 1984.5.17. 문화재자료 제54호로 지정되었으며 현재 갑사에서 소유 관리하고 있다. 갑사는 백제 구이신왕 원년(420)에 아도화상이 처음 지었고, 통일신라 문무왕 19년(679)에 의상이 고쳐 지었다고 한다."
15,020111120009,0201,1112,0009,갑사 표충원,Pyochungwon,갑사지구,제52호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 54,,종교건축,불교건축(사찰),문화유산지구,조선시대,1,갑사,갑사,0,1,190.00000000000,127.18743310000,36.36621160000,Y,갑사표충원은 사찰에서 보기드문 예로서 임진왜란 당시 왜적을 격퇴하기 위하여 승병을 이끌고 공을 세운 승려들을 기리기 위하여 세운 사당이다.
16,020111010002,0201,1101,0002,갑사 삼신불괘불탱,Gapsa Samshinbulgwaebultaeng,갑사지구,제298호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 52,충청남도 공주시 계룡면 갑사로 567-3,기타유형,회화,문화유산지구,조선시대,2,갑사,갑사,0,2,185.00000000000,127.18773180000,36.36540670000,Y,갑사삼신불괘불탱은 비로자나불을 중심으로 석가와 노사나불 등 삼신불이 진리를 설법하고 있는 장면을 그린 괘불(괘불이란 절에서 큰 법회나 의식을 행하기 위해 법당 앞뜰에 걸어놓고 예배를 드리던 대형 불교 그림을 말한다)이다.
